rank,traffic
1,240260256
2,213162848
3,182527104
4,179120128
5,174009664
6,168899200
7,155553552
8,147301088
9,139048624
10,106181392
11,85486440
12,80465312
13,75880760
14,71860768
15,66647072
16,66117272
17,57749080
18,56900104
19,48842492
20,47794160
21,46711712
22,45629268
23,45567184
24,44225232
25,44179660
26,43748428
27,43179008
28,40346288
29,39215416
30,35274076
31,34412212
32,33327552
33,32862892
34,32811726
35,32067322
36,31356736
37,30677696
39,29713716
40,29158824
41,29095952
42,28953256
44,27541276
47,26833818
48,26654026
49,25487696
50,25252794
51,25241954
52,25078980
53,24804704
54,24382706
55,24176812
57,23387590
58,23200572
59,22832188
60,22463500
61,22202670
62,22130242
63,21806916
64,21471154
66,21161120
67,20851088
68,20605800
69,19714838
70,19043004
71,18698656
72,18619254
73,18489900
74,18461154
75,18229754
76,17984144
77,17881986
78,17784340
79,17749528
80,17714714
82,17409308
83,17387290
84,16762586
85,16574478
86,16572494
87,16525652
88,16385380
90,16269928
91,16261782
93,15854330
94,15684641
95,15535763
96,15518634
97,15505559
98,15344136
99,15328755
100,15217039
101,15197192
102,14810504
103,14759738
104,14749520
105,14742013
106,14739818
107,14455966
109,14200685
110,14172115
111,14142584
112,14114178
114,13854086
115,13847653
116,13844510
117,13774884
118,13647496
119,13506253
120,13433344
121,13279414
122,13228685
123,13161199
125,13059358
126,13045122
127,13034960
128,12924970
129,12712839
130,12709145
132,12601059
133,12482718
134,12390441
137,12219290
139,11948201
140,11799746
141,11708648
142,11706860
143,11678067
144,11349829
147,11264031
148,11096360
150,11033866
151,11014429
152,10983247
156,10698736
157,10401051
158,10398760
159,10384642
160,10258483
161,10188690
162,10183710
163,10119864
164,10101635
165,10081200
166,10071462
167,10051985
168,9985032
169,9919432
170,9903839
172,9853832
174,9726117
175,9663524
176,9601751
177,9540782
178,9473474
179,9362545
180,9247463
181,9220294
182,9219950
183,9158683
184,9135245
185,9094720
186,9080176
187,9049688
188,9025783
190,9002088
191,8972054
192,8951705
193,8918976
194,8795596
195,8746828
196,8740190
197,8696416
198,8648505
199,8626239
200,8613550
202,8564717
203,8457333
204,8421564
205,8418729
206,8374930
207,8368510
208,8328822
209,8328651
210,8193568
211,8149478
213,8008639
214,7977877
215,7974527
216,7881856
217,7878454
218,7853957
220,7760585
221,7733920
222,7694739
223,7677614
224,7655963
225,7617585
226,7602792
227,7579599
228,7544376
229,7542263
230,7542000
232,7431462
234,7404921
235,7395350
236,7381560
237,7324194
238,7299456
239,7276463
240,7254428
241,7250454
243,7186467
244,7186011
245,7161495
246,7118904
247,7103596
249,7053069
250,7020617
